회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,전화번호,팩스번호,업종명,설립일,결산월,popup_id
이에스알켄달스퀘어위탁관리부동산투자회사주식회사  정보 더보기  rss,"ESR Kendall Square REIT Co., Ltd.",ESR켄달스퀘어리츠,365550,조주현  정보 더보기,유가증권시장,110111-7398989,382-81-01986,"서울특별시 영등포구 국제금융로 10 (여의도동, 서울국제금융센터) 35층",www.esrks-reit.com,http://www.esrks-reit.com/,02-6205-0467,02-6205-0466,부동산 임대 및 공급업,2020-02-20,05월,01437186
참존글로벌(주)  정보 더보기,"Charmzone Global Co., Ltd.",참존글로벌,158310,이홍배  정보 더보기,기타법인,120111-0137572,122-81-51114,"경기도 화성시 동탄순환대로 830 202호,203호,204호,205호(영천동,동탄에스케이브이1센터)",www.sehorobo.com,http://www.starmobillity.co.kr,031-8085-0700,031-432-1047,산업용 로봇 제조업,1996-07-26,12월,00923899
(주)오리엔트전자  정보 더보기,ORIENT ELECTRONICS. Inc,오리엔트전자,,장재진  정보 더보기,기타법인,110111-0789169,207-81-37621,경기도 성남시 중원구 갈마치로 322 (상대원동),www.orientelec.co.kr,,031-737-0200,031-737-0319,"전동기, 발전기 및 전기 변환장치 제조업",1979-09-05,12월,00239888
씨엑스아이헬스케어테크놀리지그룹리미티드  정보 더보기  rss,CXI Healthcare Technology Group Limited,씨엑스아이,900120,린진성  정보 더보기,코스닥시장,,223523,"P.O. Box 902, Grand Cayman, KY1-1103, Cayman Islands Third Floor, Century Yard, Cricket Square",,,86-1395-0486-047,02-555-5956,지주회사,2009-02-24,06월,00800084
(주)웨이브일렉트로닉스  rss,"WaveElectronicsCo.,Ltd.",웨이브일렉트로,095270,박천석(단독대표)  정보 더보기,코스닥시장,131111-0043271,129-81-30691,경기도 수원시 영통구 센트럴타운로 114-6 4층 402호,www.wavetc.com,,031-269-0010,031-291-9640,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1999-10-13,12월,00526696
(주)티와이홀딩스  정보 더보기  rss,"TY Holdings Co., Ltd.",티와이홀딩스,363280,윤세영  정보 더보기,유가증권시장,110111-7608502,755-81-01772,"서울특별시 영등포구 여의공원로 111, 10층(여의도동)",www.ty-holdings.co.kr,,02-2090-6611,02-2090-6605,지주회사,2020-09-01,12월,01497869
고스트스튜디오(주)  정보 더보기  rss,"GHOST STUDIO CO., LTD.",고스트스튜디오,950190,"손창욱, 최명규 (공동대표)  정보 더보기",코스닥시장,,48063,"FLAT D1, 36/F, MONTERY PLAZA, 15 CHONG YIP STREET, KWUN TONG, KOWLOON, HONG KONG -",www.ghoststudio.net,https://www.ghoststudio.net/ko/referenceRoom,02-6004-3328,,모바일 게임 소프트웨어 개발 및 공급업,2016-09-06,12월,01416235
삼성에프엔위탁관리부동산투자회사 주식회사  rss,"SamsungFN REIT Co., Ltd.",삼성FN리츠,448730,이명규  정보 더보기,유가증권시장,110111-8376893,547-87-02513,서울특별시 서초구 서초대로74길 4,www.samsungfnreit.com/,,070-4492-0769,0221800903,부동산 임대업,2022-07-26,01월,01688896
(주)미투온  정보 더보기  rss,"ME2ON CO., LTD",미투온,201490,손창욱,코스닥시장,110111-4358382,120-87-55019,서울특별시 강남구 선릉로 577 4층(역삼동),www.me2on.com,https://www.me2on.com/board/board.php?bo_table=irdata,02-515-2864,02-515-2865,게임 소프트웨어 개발 및 공급업,2010-06-01,12월,00965813
그레이트리치과기유한공사  rss,Great Rich Technologies Limited,GRT,900290,주영남,코스닥시장,,1798794,"Room 01, 21F, Prosper Commercial Building, 9 Yin Chong Street, Kowloon, Hong Kong",,,85236458129,,지주회사,2012-09-11,06월,01170962
(주)케이비스타위탁관리부동산투자회사  정보 더보기  rss,"KB STAR REIT Co., Ltd.",KB스타리츠,432320,신명재,유가증권시장,110111-8191613,380-81-02408,"서울특별시 영등포구 국제금융로 10, 41층",www.kbstarreit.com,www.kbstarreit.com,02-2167-8772,02-761-3211,비주거용 건물 임대업,2022-02-08,01월,01622720
대신재팬레지던스리츠제1호위탁관리부동산투자회사,"Daishin Japan Residence REIT No.1 Co., Ltd.",대신재팬레지던스리츠제1호위탁관리부동산투자회사,,이윤배,기타법인,110111-8785846,534-81-03251,"서울특별시 중구 삼일대로 343 (저동1가, 대신파이낸스센터(DaishinFinanceCenter))",,,02-6362-1095,,부동산업,2023-11-07,07월,01817337
주식회사 대신케이리츠물류1호위탁관리부동산투자회사,DS KREITS LOGISTICS NO.1,대신케이리츠물류1호위탁관리부동산투자회사,,정상헌,기타법인,110111-7519254,713-88-01705,"서울특별시 중구 삼일대로 343 (저동1가, 대신파이낸스센터(DaishinFinanceCenter))",,,0263621095,,비주거용 건물 임대업,2020-06-16,12월,01489958
(주)양지사  rss,Yangjisa,양지사,030960,이현  정보 더보기,코스닥시장,110111-0244965,119-81-08488,경기도 김포시 양촌읍 황금1로 131,www.yangjisa.com,,02 -865 -0041,031-996-0077,인쇄업,1979-01-15,06월,00139685
(주)두산  정보 더보기  rss,"DOOSAN CO.,LTD",두산,000150,"박정원, 김민철, 문홍성  정보 더보기",유가증권시장,110111-0013774,107-81-00237,서울특별시 중구 장충단로 275 두산타원,www.doosancorp.co.kr,,02-3398-0114,3398-1135,지주회사,1933-12-08,12월,00117212
코레이트타워위탁관리부동산투자회사,Koreit Tower Real Estate Investment Trust Company,코레이트타워위탁관리부동산투자회사,,김종서  정보 더보기,기타법인,110111-7523875,399-86-01863,"서울특별시 강남구 테헤란로 137 (역삼동, 코레이트타워)",,,02-3451-1229,05064261229,비주거용 건물 임대업,2020-06-17,12월,01508572
(주)하나리치업제3호위탁관리부동산투자회사,hanarichup 3rd,하나리치업제3호위탁관리부동산투자회사,,박영희,기타법인,110111-7885035,875-81-01912,"서울특별시 강남구 테헤란로 127 (역삼동, 그레이스타워)",,,0222296393,,그 외 기타 분류 안된 금융업,2021-05-12,12월,01576935
(주)태영건설  정보 더보기  rss,TAEYOUNG ENGINEERING & CONSTRUCTION,태영건설,009410,"최금락, 최진국 (각자대표)  정보 더보기",유가증권시장,110111-0155451,105-81-74543,경기도 광명시 신기로 20 -,www.taeyoung.com,,031-910-6999,02)3270-6920,도로 건설업,1973-11-20,12월,00153861
엠벤처투자(주)  정보 더보기  rss,"M-VENTURE INVESTMENT, INC.",엠벤처투자,019590,심성보(SHIM SUNG BO)  정보 더보기,코스닥시장,110111-0512049,116-81-15961,서울특별시 강남구 테헤란로82길 14 청풍빌딩 6층,www.m-vc.co.kr,,02-563-2501,02-6000-5659,기타 금융 투자업,1986-12-02,12월,00136642
만호제강(주)  정보 더보기  rss,MANHO ROPE & WIRE LTD,만호제강,001080,김상환,유가증권시장,180111-0054659,606-81-08662,부산광역시 강서구 녹산화전로 71,www.manhorope.com,,051-601-0351,051-442-1163,철강선 제조업,1953-09-04,06월,00120872
(주)에이텀  정보 더보기  rss,"ATUM CO., LTD.",에이텀,355690,한택수,코스닥시장,110111-5972652,358-86-00320,경기도 안산시 단원구 별망로677번길 19-15,www.iatum.com/,,031-495-8523,0226753024,전자부품 제조업,2016-02-15,12월,01444380
(주)형지엘리트  정보 더보기  rss,HYUNGJI ELITE INC.,형지엘리트,093240,최준호  정보 더보기,유가증권시장,110111-2507551,105-86-39463,"인천광역시 연수구 하모니로177번길 49 업무동 10층(송도동, 형지글로벌 패션복합센터)",www.hyungji-elite.com,,032-454-8404,02-3279-8080,여자용 겉옷 제조업,2002-04-25,06월,00441243
대동고려삼(주)  정보 더보기  rss,"DAEDONG KOREA GINSENG CO.,LTD.",대동고려삼,178600,최성근,코넥스시장,110111-2481044,204-81-67126,충청남도 금산군 군북면 군북로 586,www.ddkorea.co.kr,,041-753-8803,041-753-9914,기타 식품 제조업,2002-03-26,06월,00910202
신성통상(주)  정보 더보기  rss,"SHINSUNG TONGSANG CO.,LTD",신성통상,005390,대표이사 염태순  정보 더보기,유가증권시장,110111-0003345,104-81-01106,서울특별시 강동구 풍성로63길 84(둔촌동),www.ssts.co.kr,,02-3709-9000,02-6488-0151,기타 전문 도매업,1968-01-11,06월,00136341
주식회사 이지스레지던스위탁관리부동산투자회사  rss,"IGIS RESIDENCE REIT Co., Ltd.",이지스레지던스리츠,350520,이승환  정보 더보기,유가증권시장,110111-7375375,311-86-01790,"서울특별시 영등포구 여의공원로 115, 14층",igisresidencereit.com/,http://igisresidencereit.com/,02-6959-3100,02-780-7304,부동산 임대 및 공급업,2020-02-03,06월,01436628
(주)판타지오  정보 더보기  rss,Fantagio Corp.,판타지오,032800,신영진  정보 더보기,코스닥시장,160111-0023757,301-81-26727,서울특별시 강남구 삼성로 648 2층,www.fantagio.kr,,02-543-5564,02-3452-6637,창작 및 예술관련 서비스업,1991-01-08,06월,00231691
프레스티지바이오로직스(주)  정보 더보기  rss,"Prestige Biologics Co., Ltd.",프레스티지바이오로직스,334970,현덕훈  정보 더보기,코스닥시장,110111-5739804,777-86-00083,충청북도 청주시 흥덕구 오송읍 오송생명1로 197,www.prestigebiologics.com,,043-232-1552,043-233-1552,의약품 제조업,2015-06-02,06월,01258428
프레스티지바이오파마  정보 더보기  rss,Prestige BioPharma Limited,프레스티지바이오파마,950210,박소연,유가증권시장,,49190,21 BIOPOLIS ROAD #04-24 NUCLEOS SINGAPORE (138567) -,www.prestigebiopharma.com,,070-4124-6152,0432331552,의학 및 약학 연구개발업,2015-07-13,06월,01510489
효성오앤비(주)  정보 더보기  rss,"HyosungONBCo.,Ltd",효성오앤비,097870,"박태헌, 김방식, 박문현  정보 더보기",코스닥시장,164811-0001094,312-81-03710,충남 아산시 신동 279-10,www.hsonb.com,,041-545-8116,042-624-7613,비료 및 질소화합물 제조업,1984-08-23,06월,00367385
(주)마크로밀엠브레인  정보 더보기  rss,"Macromill Embrain Co., Ltd.",엠브레인,169330,최인수,코스닥시장,110111-1670234,105-81-98720,서울특별시 서초구 명달로 9 -,embrain.com/,,02-3444-4000,02-3406-3870,시장조사 및 여론조사업,1998-10-12,06월,00877174
(주)포시에스  rss,"FORCS Co., Ltd.",포시에스,189690,"박미경, 조종민  정보 더보기",코스닥시장,110111-3940221,108-81-85184,서울특별시 강남구 논현로 646 -,www.forcs.com,www.forcs.com,02-6188-8200,02-6188-8480,응용 소프트웨어 개발 및 공급업,2008-07-23,06월,00939942
㈜엔에이치올원위탁관리부동산투자회사  정보 더보기  rss,"NH All-One REIT Co., Ltd.",NH올원리츠,400760,소선호  정보 더보기,유가증권시장,110111-7299294,606-87-01550,서울특별시 영등포구 국제금융로8길 2 농협재단빌딩 5층,nhallonereit.com/,,02-6264-2834,,부동산 개발 및 공급업,2019-11-20,12월,01480780
(주)제이알글로벌위탁관리부동산투자회사  정보 더보기  rss,JR GLOBAL REIT,제이알글로벌리츠,348950,오남수,유가증권시장,110111-7263728,207-81-58077,서울특별시 중구 을지로 100,jrglobalreit.com,,02-2008-7035,,부동산 임대 및 공급업,2019-10-24,06월,01415892
(주)아세아텍  정보 더보기  rss,"ASIA TECHNOLOGY Co., Ltd.",아세아텍,050860,"김신길, 김은수 (각자대표)  정보 더보기",코스닥시장,174111-0000098,514-81-00212,대구 달성군 유가면 금리 168,www.asiakor.com,,053-580-7777,053.580.7700,농업 및 임업용 기계 제조업,1978-09-09,06월,00138747
구골홀딩스 주식회사  정보 더보기,"GOGOLHOLDINGS CO., LTD.",구골홀딩스,,이성호,기타법인,141211-0015888,224-81-18779,서울특별시 서초구 바우뫼로 154 401호(양재동),,,02-576-7188,02-579-7188,농림수산학 및 수의학 연구개발업,2000-04-18,12월,01181232
(주)덕산테코피아  rss,"Duksan Techopia Co., Ltd.",덕산테코피아,317330,이수완  정보 더보기,코스닥시장,230111-0120607,620-81-24727,충청남도 천안시 동남구 풍세면 풍세산단2로 39,dstp.co.kr,,041-903-9700,041-903-9699,그 외 기타 화학제품 제조업,2006-03-16,12월,01021666
주식회사 신한서부티엔디위탁관리부동산투자회사  rss,"Shinhan Seobu T&D REIT Co., Ltd.",신한서부티엔디리츠,404990,승만호  정보 더보기,유가증권시장,110111-7343356,144-88-01520,"서울특별시 중구 세종대로 136 4층, 6층 (태평로1가, 서울파이낸스센터)",shsbreit.com,,02-2158-7400,02-2158-7449,비주거용 건물 임대업,2020-01-02,12월,01436558
(주)이리츠코크렙기업구조조정부동산투자회사  정보 더보기  rss,E KOCREF CR-REIT,이리츠코크렙,088260,김영규  정보 더보기,유가증권시장,110111-3275959,107-86-67081,서울특별시 강남구 삼성로 511,,,02-787-0000,02-2112-0939,비주거용 건물 임대업,2005-07-26,06월,00544452
주식회사 파라타항공  정보 더보기,"Flygangwon Co., Ltd.",파라타항공,,주원석,기타법인,110111-6030441,710-81-00367,강원도 양양군 양양읍 일출로 166-20 (조산리),https://www.flygangwon.com/ko/main/main.do,,0336800061,0336739120,항공 운송업,2016-04-12,12월,01218800
롯데위탁관리부동산투자회사 주식회사  rss,"LOTTE REIT Co., Ltd.",롯데리츠,330590,롯데에이엠씨 주식회사,유가증권시장,110111-7061081,564-81-01254,서울특별시 송파구 올림픽로 300 롯데월드타워 30층,www.lottereit.co.kr/,,02-3213-8166,02-3213-8149,부동산 임대 및 공급업,2019-03-29,06월,01363818
(주)디피코,"DPECO CO.,LTD.",디피코,163430,송신근,기타법인,135011-0081948,134-81-40167,강원도 횡성군 우천면 우천산업단지로 60-44 2층,www.dpeco.com,,033-340-4800,031-441-7626,자동차 차체 및 트레일러 제조업,1998-07-01,12월,01072518
삼부토건(주)  정보 더보기  rss,"SAMBU CONSTRUCTION CO.,LTD",삼부토건,001470,오일록  정보 더보기,유가증권시장,110111-0041634,104-81-00771,서울특별시 중구 퇴계로 67 -,www.sambu.co.kr,,02-2036-8000,02)756-3908,도로 건설업,1955-05-14,12월,00125974
㈜미래에셋맵스제1호위탁관리부동산투자회사  정보 더보기  rss,"Miraeasset Maps REIT 1 Co., Ltd.",미래에셋맵스리츠,357250,정상구  정보 더보기,유가증권시장,110111-7323259,778-88-01487,서울특별시 종로구 종로 33 그랑서울,www.maps1reit.miraeasset.com,,1577-1640,0237742229,부동산 임대 및 공급업,2019-12-12,11월,01437292
(주)유틸렉스  정보 더보기  rss,"Eutilex Co.,Ltd.",유틸렉스,263050,"권병세, 유연호 (공동대표이사)  정보 더보기",코스닥시장,285011-0287959,863-86-00031,"서울특별시 금천구 가산디지털1로 58 408호 (가산동, 에이스한솔타워)",www.eutilex.com,,02-3402-7314,02-3402-7399,기초 의약 물질 제조업,2015-02-27,12월,01110678
(주)영풍  정보 더보기  rss,YOUNGPOONG CORPORATION,영풍,000670,박영민  정보 더보기,유가증권시장,110111-0003824,211-81-11275,서울특별시 강남구 강남대로 542,www.ypzinc.co.kr,,02-519-3314,02-548-8505,"연 및 아연 제련, 정련 및 합금 제조업",1949-11-25,12월,00141307
